Handle,Title,Body (HTML),Vendor,Type,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Requires Shipping,Variant Taxable,Status
girl-fight-fighter,Girl Fight Tee — Fighter Graphic,"Crafted in heavyweight cotton with a structured, boxy fit. The premium tee features the bold yellow Girl Fight wordmark paired with our fighter graphic.",Girl Fight,Tee,TRUE,Color,Black / Yellow,Size,S,GF-FIGHTER-BYEL-S,,deny,45.00,TRUE,TRUE,active
girl-fight-fighter,,,,,,,Black / Yellow,,M,GF-FIGHTER-BYEL-M,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,Black / Yellow,,L,GF-FIGHTER-BYEL-L,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,Black / Yellow,,XL,GF-FIGHTER-BYEL-XL,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,White / Black,,S,GF-FIGHTER-WBLA-S,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,White / Black,,M,GF-FIGHTER-WBLA-M,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,White / Black,,L,GF-FIGHTER-WBLA-L,,deny,45.00,TRUE,TRUE,
girl-fight-fighter,,,,,,,White / Black,,XL,GF-FIGHTER-WBLA-XL,,deny,45.00,TRUE,TRUE,
girl-fight-script,Girl Fight Tee — Script Wordmark,"Crafted in heavyweight cotton with a structured, boxy fit. The premium tee features the Girl Fight script wordmark in a clean finish.",Girl Fight,Tee,TRUE,Color,Black / White,Size,S,GF-SCRIPT-BWHI-S,,deny,45.00,TRUE,TRUE,active
girl-fight-script,,,,,,,Black / White,,M,GF-SCRIPT-BWHI-M,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / White,,L,GF-SCRIPT-BWHI-L,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / White,,XL,GF-SCRIPT-BWHI-XL,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Yellow,,S,GF-SCRIPT-BYEL-S,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Yellow,,M,GF-SCRIPT-BYEL-M,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Yellow,,L,GF-SCRIPT-BYEL-L,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Yellow,,XL,GF-SCRIPT-BYEL-XL,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Pink,,S,GF-SCRIPT-BPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Pink,,M,GF-SCRIPT-BPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Pink,,L,GF-SCRIPT-BPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,Black / Pink,,XL,GF-SCRIPT-BPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Black,,S,GF-SCRIPT-WBLA-S,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Black,,M,GF-SCRIPT-WBLA-M,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Black,,L,GF-SCRIPT-WBLA-L,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Black,,XL,GF-SCRIPT-WBLA-XL,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Pink,,S,GF-SCRIPT-WPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Pink,,M,GF-SCRIPT-WPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Pink,,L,GF-SCRIPT-WPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-script,,,,,,,White / Pink,,XL,GF-SCRIPT-WPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-block,Girl Fight Tee — Block Logo,"Crafted in heavyweight cotton with a structured, boxy fit. The premium tee features the GIRL/FIGHT block logo.",Girl Fight,Tee,TRUE,Color,Black / Yellow,Size,S,GF-BLOCK-BYEL-S,,deny,45.00,TRUE,TRUE,active
girl-fight-block,,,,,,,Black / Yellow,,M,GF-BLOCK-BYEL-M,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Yellow,,L,GF-BLOCK-BYEL-L,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Yellow,,XL,GF-BLOCK-BYEL-XL,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Pink,,S,GF-BLOCK-BPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Pink,,M,GF-BLOCK-BPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Pink,,L,GF-BLOCK-BPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / Pink,,XL,GF-BLOCK-BPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / White,,S,GF-BLOCK-BWHI-S,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / White,,M,GF-BLOCK-BWHI-M,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / White,,L,GF-BLOCK-BWHI-L,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,Black / White,,XL,GF-BLOCK-BWHI-XL,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Black,,S,GF-BLOCK-WBLA-S,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Black,,M,GF-BLOCK-WBLA-M,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Black,,L,GF-BLOCK-WBLA-L,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Black,,XL,GF-BLOCK-WBLA-XL,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Pink,,S,GF-BLOCK-WPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Pink,,M,GF-BLOCK-WPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Pink,,L,GF-BLOCK-WPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-block,,,,,,,White / Pink,,XL,GF-BLOCK-WPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,Girl Fight Tee — Graffiti,"Crafted in heavyweight cotton with a structured, boxy fit. The premium tee features a wildstyle Girl Fight graffiti graphic.",Girl Fight,Tee,TRUE,Color,Black / Pink,Size,S,GF-GRAFFITI-BPIN-S,,deny,45.00,TRUE,TRUE,active
girl-fight-graffiti,,,,,,,Black / Pink,,M,GF-GRAFFITI-BPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Pink,,L,GF-GRAFFITI-BPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Pink,,XL,GF-GRAFFITI-BPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / White,,S,GF-GRAFFITI-BWHI-S,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / White,,M,GF-GRAFFITI-BWHI-M,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / White,,L,GF-GRAFFITI-BWHI-L,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / White,,XL,GF-GRAFFITI-BWHI-XL,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Yellow,,S,GF-GRAFFITI-BYEL-S,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Yellow,,M,GF-GRAFFITI-BYEL-M,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Yellow,,L,GF-GRAFFITI-BYEL-L,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,Black / Yellow,,XL,GF-GRAFFITI-BYEL-XL,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Black,,S,GF-GRAFFITI-WBLA-S,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Black,,M,GF-GRAFFITI-WBLA-M,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Black,,L,GF-GRAFFITI-WBLA-L,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Black,,XL,GF-GRAFFITI-WBLA-XL,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Pink,,S,GF-GRAFFITI-WPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Pink,,M,GF-GRAFFITI-WPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Pink,,L,GF-GRAFFITI-WPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-graffiti,,,,,,,White / Pink,,XL,GF-GRAFFITI-WPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,Girl Fight Tee — Splatter,"Crafted in heavyweight cotton with a structured, boxy fit. The premium tee features a sprayed Girl Fight graphic in distressed white.",Girl Fight,Tee,TRUE,Color,Black / White,Size,S,GF-SPLATTER-BWHI-S,,deny,45.00,TRUE,TRUE,active
girl-fight-splatter,,,,,,,Black / White,,M,GF-SPLATTER-BWHI-M,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / White,,L,GF-SPLATTER-BWHI-L,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / White,,XL,GF-SPLATTER-BWHI-XL,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Yellow,,S,GF-SPLATTER-BYEL-S,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Yellow,,M,GF-SPLATTER-BYEL-M,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Yellow,,L,GF-SPLATTER-BYEL-L,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Yellow,,XL,GF-SPLATTER-BYEL-XL,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Pink,,S,GF-SPLATTER-BPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Pink,,M,GF-SPLATTER-BPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Pink,,L,GF-SPLATTER-BPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,Black / Pink,,XL,GF-SPLATTER-BPIN-XL,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Black,,S,GF-SPLATTER-WBLA-S,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Black,,M,GF-SPLATTER-WBLA-M,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Black,,L,GF-SPLATTER-WBLA-L,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Black,,XL,GF-SPLATTER-WBLA-XL,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Pink,,S,GF-SPLATTER-WPIN-S,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Pink,,M,GF-SPLATTER-WPIN-M,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Pink,,L,GF-SPLATTER-WPIN-L,,deny,45.00,TRUE,TRUE,
girl-fight-splatter,,,,,,,White / Pink,,XL,GF-SPLATTER-WPIN-XL,,deny,45.00,TRUE,TRUE,
